ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_fd v_fs c_fg v_d1 
7.15 13.65 1416.27 0 0 0 
8.45 13.65 1387.11 0 0 0 
9.75 13.65 1409.67 0 0 0 
11.05 13.65 1395.42 0 0 0 
12.35 13.65 1382.75 0 0 0 
13.65 13.65 1386.89 0 0 0 
14.95 13.65 1421.64 0 0 0 
16.25 13.65 1422.77 0 0 0 
17.55 13.65 1372.88 0 0 0 
18.85 13.65 1361.23 0 0 0 
0.65 14.95 1398.76 0 0 0 
1.95 14.95 1397.27 0 0 0 
3.25 14.95 1382.88 0 0 0 
4.55 14.95 1427.69 0 0 0 
5.85 14.95 1412.17 0 0 0 
7.15 14.95 1386.64 0 0 0 
8.45 14.95 1373.94 0 0 0 
9.75 14.95 1398.85 0 0 0 
11.05 14.95 1408.9 0 0 0 
12.35 14.95 1368.59 0 0 0 
13.65 14.95 1369.87 0 0 0 
14.95 14.95 1358.24 0 0 0 
16.25 14.95 1383.45 0 0 0 
17.55 14.95 1394.61 0 0 0 
18.85 14.95 1418.38 0 0 0 
0.65 16.25 1400.65 0 0 0 
1.95 16.25 1360.57 0 0 0 
3.25 16.25 1400.98 0 0 0 
4.55 16.25 1437.37 0 0 0 
5.85 16.25 1391.09 0 0 0 
7.15 16.25 1404.53 0 0 0 
8.45 16.25 1440.31 0 0 0 
9.75 16.25 1419.16 0 0 0 
11.05 16.25 1400.43 0 0 0 
12.35 16.25 1414.12 0 0 0 
13.65 16.25 1395.32 0 0 0 
14.95 16.25 1387.77 0 0 0 
16.25 16.25 1361.74 0 0 0 
17.55 16.25 1369.03 0 0 0 
18.85 16.25 1417.35 0 0 0 
0.65 17.55 1378.82 0 0 0 
1.95 17.55 1386.67 0 0 0 
3.25 17.55 1402.55 0 0 0 
4.55 17.55 1384.21 0 0 0 
5.85 17.55 1413.71 0 0 0 
7.15 17.55 1413.45 0 0 0 
8.45 17.55 1376.42 0 0 0 
9.75 17.55 1374.72 0 0 0 
11.05 17.55 1417.9 0 0 0 
12.35 17.55 1417.73 0 0 0 
13.65 17.55 1401.67 0 0 0 
14.95 17.55 1397.26 0 0 0 
16.25 17.55 1400.51 0 0 0 
17.55 17.55 1369.45 0 0 0 
18.85 17.55 1387.07 0 0 0 
0.65 18.85 1407.86 0 0 0 
1.95 18.85 1372.12 0 0 0 
3.25 18.85 1404.2 0 0 0 
4.55 18.85 1412.87 0 0 0 
5.85 18.85 1354.78 0 0 0 
7.15 18.85 1382.96 0 0 0 
8.45 18.85 1396.92 0 0 0 
9.75 18.85 1385.1 0 0 0 
11.05 18.85 1387.78 0 0 0 
12.35 18.85 1425.4 0 0 0 
13.65 18.85 1401.78 0 0 0 
14.95 18.85 1395.25 0 0 0 
16.25 18.85 1385.46 0 0 0 
17.55 18.85 1401.96 0 0 0 
18.85 18.85 1415.37 0 0 0 
ITEM: TIMESTEP
500
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_fd v_fs c_fg v_d1 
0.671706 0.6651 1263.57 0 0 0 
1.97392 0.655941 1270.6 0 0 0 
3.27556 0.656714 1266.79 0 0 0 
4.55728 0.656153 1310.33 0 0 0 
5.86811 0.655183 1288.29 0 0 0 
7.16699 0.661207 1282.79 0 0 0 
8.47211 0.664899 1267.27 0 0 0 
9.76663 0.668488 1273.37 0 0 0 
11.0716 0.660106 1281.81 0 0 0 
12.3774 0.667393 1261.2 0 0 0 
13.675 0.664942 1275.6 0 0 0 
14.9692 0.665807 1287.33 0 0 0 
16.2636 0.650282 1338.29 0 0 0 
17.5752 0.656379 1325.01 0 0 0 
18.8568 0.658932 1335.12 0 0 0 
0.673423 1.95389 1271.18 0 0 0 
1.96029 1.95525 1303.31 0 0 0 
3.27506 1.95171 1272.46 0 0 0 
4.55734 1.95484 1311.62 0 0 0 
5.87109 1.94002 1300.71 0 0 0 
7.17725 1.96032 1260.21 0 0 0 
8.47259 1.95818 1275.41 0 0 0 
9.7774 1.96266 1260.21 0 0 0 
11.0645 1.95849 1296.04 0 0 0 
12.3776 1.95982 1272.53 0 0 0 
13.6678 1.95498 1304.75 0 0 0 
14.9559 1.97422 1284.2 0 0 0 
16.2637 1.96174 1307.61 0 0 0 
17.5647 1.98174 1263.63 0 0 0 
18.8646 1.96805 1309.01 0 0 0 
0.671073 3.24983 1279.16 0 0 0 
1.97592 3.25179 1266.96 0 0 0 
3.26976 3.24752 1287.31 0 0 0 
4.57826 3.25686 1257.62 0 0 0 
5.86343 3.24462 1308.38 0 0 0 
7.17279 3.26196 1266.37 0 0 0 
8.47596 3.2559 1268.07 0 0 0 
9.7734 3.25547 1276.61 0 0 0 
11.0731 3.24932 1290.23 0 0 0 
12.3605 3.26068 1299.59 0 0 0 
13.6688 3.25591 1296.02 0 0 0 
14.9601 3.26108 1304.93 0 0 0 
16.2758 3.26289 1286.25 0 0 0 
17.5558 3.25254 1342.32 0 0 0 
18.8571 3.2598 1331.45 0 0 0 
0.67787 4.55119 1259.06 0 0 0 
1.96985 4.5501 1281.81 0 0 0 
3.28297 4.54874 1250.42 0 0 0 
4.56599 4.55713 1286.54 0 0 0 
5.87508 4.55726 1263.99 0 0 0 
7.17758 4.53276 1285.38 0 0 0 
8.47549 4.55274 1269.7 0 0 0 
9.77369 4.55778 1269.43 0 0 0 
11.071 4.56254 1270.83 0 0 0 
12.3691 4.56098 1278.77 0 0 0 
13.6903 4.55572 1248.52 0 0 0 
14.9769 4.55928 1275.19 0 0 0 
16.2663 4.56166 1295.48 0 0 0 
17.5712 4.56617 1289.35 0 0 0 
18.8711 4.55643 1332.14 0 0 0 
0.673656 5.86346 1262.12 0 0 0 
1.98108 5.84469 1254.56 0 0 0 
3.2754 5.85187 1265.14 0 0 0 
4.56444 5.85326 1292.81 0 0 0 
5.87265 5.85892 1267.96 0 0 0 
7.17264 5.84502 1279.33 0 0 0 
8.48218 5.86293 1240.76 0 0 0 
9.77905 5.8485 1263.15 0 0 0 
11.0804 5.86153 1247.52 0 0 0 
12.37 5.86016 1275.25 0 0 0 
13.6764 5.86396 1256.91 0 0 0 
14.9675 5.85542 1293.08 0 0 0 
16.261 5.85348 1315.15 0 0 0 
17.5748 5.86394 1282.23 0 0 0 
18.8549 5.85715 1334.4 0 0 0 
0.670831 7.14908 1275.79 0 0 0 
1.96635 7.1534 1287.14 0 0 0 
3.27598 7.14896 1263.73 0 0 0 
4.57773 7.14337 1262.17 0 0 0 
5.87805 7.15822 1254.33 0 0 0 
7.1811 7.16089 1244.97 0 0 0 
8.46993 7.14734 1281.95 0 0 0 
9.76938 7.15452 1279.24 0 0 0 
11.0838 7.16633 1234.08 0 0 0 
12.3813 7.14661 1257.73 0 0 0 
13.672 7.16114 1268.21 0 0 0 
14.9743 7.16323 1261.25 0 0 0 
16.2792 7.15669 1263.89 0 0 0 
17.5754 7.14723 1303.06 0 0 0 
18.8715 7.15566 1316.98 0 0 0 
0.66768 8.43641 1286.17 0 0 0 
1.9708 8.44765 1276.5 0 0 0 
3.2654 8.44565 1291.34 0 0 0 
4.58156 8.46158 1245.24 0 0 0 
5.87499 8.45087 1264.83 0 0 0 
7.17363 8.44772 1269.4 0 0 0 
8.4875 8.45206 1231.55 0 0 0 
9.76429 8.4432 1296.14 0 0 0 
11.0834 8.4682 1237.23 0 0 0 
12.3654 8.45657 1288.4 0 0 0 
13.6779 8.44866 1259.78 0 0 0 
14.9857 8.45543 1236.59 0 0 0 
16.2701 8.46431 1270.25 0 0 0 
17.5759 8.4609 1260.42 0 0 0 
18.8648 8.45818 1300.25 0 0 0 
0.679646 9.74847 1251.22 0 0 0 
1.97769 9.76586 1258.16 0 0 0 
3.26935 9.74094 1279.87 0 0 0 
4.58393 9.74046 1241.09 0 0 0 
5.88028 9.73802 1250.94 0 0 0 
7.17111 9.75666 1275.08 0 0 0 
8.4812 9.75913 1248.34 0 0 0 
9.76799 9.75605 1283.37 0 0 0 
11.0699 9.75763 1278.24 0 0 0 
12.3667 9.74819 1286.84 0 0 0 
13.6708 9.75372 1275.93 0 0 0 
14.9668 9.75717 1286.63 0 0 0 
16.259 9.75944 1307.46 0 0 0 
17.5766 9.76189 1260.68 0 0 0 
18.864 9.74318 1293.91 0 0 0 
0.678284 11.0493 1254.84 0 0 0 
1.9713 11.0458 1274.08 0 0 0 
3.27919 11.0438 1252.86 0 0 0 
4.58592 11.0542 1236.34 0 0 0 
5.87255 11.0467 1270.8 0 0 0 
7.16771 11.04 1282.8 0 0 0 
8.47562 11.0451 1262.35 0 0 0 
9.77149 11.0585 1276.21 0 0 0 
11.082 11.0441 1244.97 0 0 0 
12.374 11.0559 1269.48 0 0 0 
13.6694 11.0434 1278.18 0 0 0 
